0.081,28,31,H2,H5
0.081,31,43,H5,S4
0.081,32,49,H6,ST
0.081,41,45,S2,S6
0.082,19,34,D6,H8
0.082,26,31,DK,H5
0.082,3,40,C3,SA
0.082,5,33,C5,H7
0.082,7,50,C7,SJ
0.082,12,31,CQ,H5
0.082,15,52,D2,SK
0.082,41,48,S2,S9
0.082,42,49,S3,ST
0.082,44,48,S5,S9
0.083,16,22,D3,D9
0.083,18,27,D5,HA
0.083,19,30,D6,H4
0.083,2,40,C2,SA
0.083,3,9,C3,C9
0.083,3,39,C3,HK
0.083,3,52,C3,SK
0.083,5,45,C5,S6
0.083,6,38,C6,HQ
0.083,6,50,C6,SJ
0.083,7,30,C7,H4
0.083,11,19,CJ,D6
0.083,12,19,CQ,D6
0.083,13,28,CK,H2
0.083,13,41,CK,S2
0.083,30,37,H4,HJ
0.083,31,37,H5,HJ
0.083,41,42,S2,S3
0.084,18,32,D5,H6
0.084,18,33,D5,H7
0.084,18,38,D5,HQ
0.084,23,46,DT,S7
0.084,6,44,C6,S5
0.084,6,47,C6,S8
0.084,6,51,C6,SQ
0.084,7,45,C7,S6
0.084,11,33,CJ,H7
0.084,13,18,CK,D5
0.084,15,21,D2,D8
0.084,28,33,H2,H7
0.084,32,44,H6,S5
0.085,25,32,DQ,H6
0.085,2,14,C2,DA
0.085,2,27,C2,HA
0.085,6,18,C6,D5
0.085,6,31,C6,H5
0.085,8,50,C8,SJ
0.085,29,37,H3,HJ
0.085,32,43,H6,S4
0.085,37,46,HJ,S7
0.086,16,40,D3,SA
0.086,22,32,D9,H6
0.086,24,33,DJ,H7
0.086,24,47,DJ,S8
0.086,1,42,CA,S3
0.086,4,9,C4,C9
0.086,5,20,C5,D7
0.086,7,25,C7,DQ
0.086,7,26,C7,DK
0.086,7,38,C7,HQ
0.086,10,33,CT,H7
0.086,12,18,CQ,D5
0.086,15,22,D2,D9
0.086,26,45,DK,S6
0.086,30,51,H4,SQ
0.086,38,44,HQ,S5
0.087,17,45,D4,S6
0.087,26,43,DK,S4
0.087,4,52,C4,SK
0.087,5,39,C5,HK
0.087,6,46,C6,S7
0.087,7,52,C7,SK
0.087,8,19,C8,D6
0.087,12,33,CQ,H7
0.087,14,28,DA,H2
0.087,30,52,H4,SK
0.087,33,48,H7,S9
0.087,35,45,H9,S6
0.087,38,45,HQ,S6
0.088,19,48,D6,S9
0.088,20,35,D7,H9
0.088,22,33,D9,H7
0.088,2,52,C2,SK
0.088,3,10,C3,CT
0.088,7,51,C7,SQ
0.088,8,48,C8,S9
0.088,13,31,CK,H5
0.088,14,41,DA,S2
0.088,28,30,H2,H4
0.088,32,46,H6,S7
0.088,37,45,HJ,S6
0.088,42,48,S3,S9
0.089,16,23,D3,DT
0.089,19,46,D6,S7
0.089,19,47,D6,S8
0.089,20,45,D7,S6
0.089,26,30,DK,H4
0.089,11,34,CJ,H8
0.089,13,43,CK,S4
0.089,29,33,H3,H7
0.089,31,52,H5,SK
0.089,33,52,H7,SK
0.089,41,44,S2,S5
0.089,41,49,S2,ST
0.089,42,47,S3,S8
0.09,2,7,C2,C7
0.09,5,26,C5,DK
0.09,6,25,C6,DQ
0.09,6,26,C6,DK
0.09,7,22,C7,D9
0.09,7,36,C7,HT
0.09,13,17,CK,D4
0.09,16,18,D3,D5
0.09,31,45,H5,S6
0.09,38,46,HQ,S7
0.09,39,42,HK,S3
0.09,41,50,S2,SJ
0.09,43,48,S4,S9
0.091,20,36,D7,HT
0.091,26,44,DK,S5
0.091,7,32,C7,H6
0.091,13,19,CK,D6
0.091,13,46,CK,S7
0.091,14,29,DA,H3
0.091,28,32,H2,H6
0.091,32,52,H6,SK
0.091,35,46,H9,S7
0.091,41,51,S2,SQ
0.092,18,39,D5,HK
0.092,18,52,D5,SK
0.092,20,31,D7,H5
0.092,20,37,D7,HJ
0.092,22,46,D9,S7
0.092,26,33,DK,H7
0.092,1,16,CA,D3
0.092,5,52,C5,SK
0.092,9,46,C9,S7
0.092,10,47,CT,S8
0.092,15,24,D2,DJ
0.092,28,34,H2,H8
0.092,33,47,H7,S8
0.092,39,43,HK,S4
0.092,41,46,S2,S7
0.093,19,22,D6,D9
0.093,21,33,D8,H7
0.093,21,46,D8,S7
0.093,24,35,DJ,H9
0.093,24,46,DJ,S7
0.093,2,5,C2,C5
